date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1980-12-12,28.7392,28.8736,28.7392,28.7392,2093900,0.0993,,
1980-12-15,27.3728,27.3728,27.2608,27.2608,785200,0.0942,-5.14,
1980-12-16,25.3792,25.3792,25.2448,25.2448,472000,0.0872,-7.43,
1980-12-17,25.872,26.0064,25.872,25.872,385900,0.0894,2.52,
1980-12-18,26.6336,26.7456,26.6336,26.6336,327900,0.092,2.91,
1980-12-19,28.2464,28.3808,28.2464,28.2464,217100,0.0976,6.09,
1980-12-22,29.6352,29.7472,29.6352,29.6352,166800,0.1024,4.92,
1980-12-23,30.8672,31.0016,30.8672,30.8672,209600,0.1066,4.1,
1980-12-24,32.5024,32.6144,32.5024,32.5024,214300,0.1123,5.35,
1980-12-26,35.504,35.616,35.504,35.504,248100,0.1227,9.26,
1980-12-29,35.9968,36.1312,35.9968,35.9968,415900,0.1244,1.39,
1980-12-30,35.2576,35.2576,35.1232,35.1232,307500,0.1214,-2.41,
1980-12-31,34.2496,34.2496,34.1152,34.1152,159600,0.1179,-2.88,
1981-01-02,34.496,34.7424,34.496,34.496,96700,0.1192,1.1,
1981-01-05,33.8688,33.8688,33.7568,33.7568,159500,0.1166,-2.18,
1981-01-06,32.368,32.368,32.256,32.256,201600,0.1114,-4.46,
1981-01-07,31.0016,31.0016,30.8672,30.8672,248600,0.1066,-4.31,
1981-01-08,30.3744,30.3744,30.24,30.24,177800,0.1045,-1.97,
1981-01-09,31.8752,32.0096,31.8752,31.8752,96000,0.1101,5.36,
1981-01-12,31.8752,31.8752,31.6288,31.6288,105800,0.1093,-0.73,79405760.0
1981-01-13,30.6208,30.6208,30.5088,30.5088,102900,0.1054,-3.57,57106560.0
1981-01-14,30.6208,30.7552,30.6208,30.6208,63800,0.1058,0.38,49026880.0
1981-01-15,31.248,31.4944,31.248,31.248,62800,0.108,2.08,44443840.0
1981-01-16,31.136,31.136,31.0016,31.0016,59800,0.1071,-0.83,40791520.0
1981-01-19,32.8832,32.9952,32.8832,32.8832,185600,0.1136,6.07,39197760.0
1981-01-20,32.0096,32.0096,31.8752,31.8752,134300,0.1101,-3.08,38270400.0
1981-01-21,32.5024,32.7488,32.5024,32.5024,71000,0.1123,2.0,37197440.0
